id,Lisboa,Result,Log,Order,comissao_coordenadora,grupo_contacto,Apoio_Contacto,Apoio_Coordenadora,Age,Internet,Previous.party,Female
491,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
492,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
493,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
494,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
495,1,39.23,3.6694417602,1,0,0,4,4,83,1,1,0
496,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA
497,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
498,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
499,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
500,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
501,NA,NA,NA,NA,0,0,0,5,NA,NA,NA,NA
502,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
503,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
504,1,55.69,4.0198005976,1,0,0,0,2,58,1,0,0
505,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
506,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
507,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
508,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
509,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
510,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
511,1,1.8,0.5877866649,3,0,0,0,0,61,1,1,0
512,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA
513,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
514,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
515,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
516,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
517,NA,NA,NA,NA,0,0,0,4,NA,NA,NA,NA
518,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
519,NA,NA,NA,NA,0,0,4,1,NA,NA,NA,NA
520,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
521,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
522,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA
523,1,4.92,1.5933085305,1,0,0,0,0,30,1,0,1
524,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
525,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
526,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
527,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
528,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
529,1,4.75,1.558144618,1,0,0,0,0,40,0,1,1
530,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
531,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
532,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
533,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
534,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
535,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
536,NA,NA,NA,NA,0,0,1,3,NA,NA,NA,NA
537,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
538,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
539,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
540,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
541,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
542,1,3.51,1.2556160375,1,0,0,0,0,53,0,0,0
543,NA,NA,NA,NA,0,0,0,3,NA,NA,NA,NA
544,NA,NA,NA,NA,0,0,3,1,NA,NA,NA,NA
545,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
546,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
547,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
548,1,2.05,0.7178397932,1,0,0,0,0,19,1,0,0
549,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
550,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
551,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
552,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
553,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
554,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
555,1,2.56,0.9400072585,2,0,0,6,0,35,0,0,0
556,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
557,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
558,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
559,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
560,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
561,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
562,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
563,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
564,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
565,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
566,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
567,1,14.96,2.7053799725,2,0,0,4,2,34,1,0,1
568,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
569,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
